127.0.0.1 - - [27/Apr/2020:10:30:56 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [27/Apr/2020:10:30:56 +0900] "GET /WebUI/2_css_class/02_html5_list.html HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [27/Apr/2020:10:30:56 +0900] "GET /WebUI/images/sample/curry.jpg HTTP/1.1" 200 33356
0:0:0:0:0:0:0:1 - - [27/Apr/2020:10:30:56 +0900] "GET /WebUI/images/common/icon_h2.gif HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [27/Apr/2020:10:30:56 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [27/Apr/2020:10:35:11 +0900] "GET /WebUI/2_css_class/08_display.html HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [27/Apr/2020:10:35:11 +0900] "GET /WebUI/2_css_class/img/spade-2.png HTTP/1.1" 200 86203
0:0:0:0:0:0:0:1 - - [27/Apr/2020:10:35:11 +0900] "GET /WebUI/2_css_class/img/spade-3.png HTTP/1.1" 200 102370
0:0:0:0:0:0:0:1 - - [27/Apr/2020:10:35:11 +0900] "GET /WebUI/2_css_class/img/spade-7.png HTTP/1.1" 200 120289
0:0:0:0:0:0:0:1 - - [27/Apr/2020:10:38:48 +0900] "GET /WebUI/2_css_class/08_display.html HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [27/Apr/2020:10:39:51 +0900] "GET /WebUI/2_css_class/08_display.html HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [27/Apr/2020:10:40:00 +0900] "GET /WebUI/2_css_class/08_display.html HTTP/1.1" 200 1195
0:0:0:0:0:0:0:1 - - [27/Apr/2020:10:40:00 +0900] "GET /WebUI/2_css_class/img/spade-3.png HTTP/1.1" 200 102370
0:0:0:0:0:0:0:1 - - [27/Apr/2020:10:40:00 +0900] "GET /WebUI/2_css_class/img/spade-2.png HTTP/1.1" 200 86203
0:0:0:0:0:0:0:1 - - [27/Apr/2020:10:40:00 +0900] "GET /WebUI/2_css_class/img/spade-7.png HTTP/1.1" 200 120289
